ISO3,PV,Wind,Hydro,CSP,Rooftop,Offshore
ATG,0,0,0,0,0,0
DZA,12634918,69.3887786865234,0,565146.5,21657.29296875,0
AZE,12974.9482421875,7048.82080078125,0,0,54.4077949523926,351.146667480469
ALB,0,14.0578765869141,0,0,8280.4599609375,0
ARM,7106.23974609375,0,0,0,0.182982370257378,0
AGO,3160789,0,0,0,2594.98999023438,49.8610763549805
ASM,0,0,0,0,0,0
ARG,1061917,570553.5,69.8484039306641,257068.4375,12657.3515625,320791
AUS,8533990,155286.875,0,5126619,249036.25,136097.875
BHR,8352.796875,0,0,0,1887.03466796875,0
BRB,2353.09228515625,0,0,0,0,0
BMU,0,0,0,0,0,24.556245803833
BHS,82.5373687744141,0,0,0,567.314819335938,0
BGD,0,0,0,0,2437.10400390625,0
BLZ,0,0,0,0,0,0
BIH,0,146.506881713867,3.62039995193481,0,8613.1875,0
BOL,2200665.25,10322.466796875,0,45853.91015625,6759.333984375,0
MMR,2778.98071289063,0,0,0,779.958801269531,0
BEN,508079.21875,0,0,0,1272.04528808594,0
SLB,0,0,0,0,0,0
BRA,7548576.5,72333.15625,69.9252014160156,2999.42504882813,49516.6640625,23345.466796875
BGR,0,3193.98999023438,0,0,62678.65625,0
BRN,0,0,0,0,1165.82641601563,0
CAN,0,353075.21875,519.136413574219,116.891265869141,90231.078125,402503.53125
KHM,0,0,0,0,41130.2421875,0
LKA,46593.42578125,23530.462890625,0,0,4251.17236328125,312.834899902344
COG,3956.40869140625,0,0,0,1497.81176757813,0
COD,2740368,0,466.05419921875,0,26097.22265625,0
BDI,30232.33203125,0,0,0,1184.79858398438,0
CHN,6453485.5,40672.890625,450,667274.125,1792624.625,80750.265625
AFG,772917.75,13420.619140625,0,417.453338623047,34739.93359375,0
BTN,0,0,0,0,249.896194458008,0
CHL,3508487.5,7589.05517578125,0,114715.46875,4065.28076171875,49300.60546875
CYM,0,0,0,0,0,0
CMR,862242.25,0,23.315601348877,0,2412.88208007813,0
TCD,492123.3125,0,0,0,660.843505859375,0
COM,0,0,0,0,0,0
COL,303308.625,23985.375,0,0,987.925415039063,184808.96875
CRI,13019.734375,1088.232421875,0,0,118.879570007324,2378.80102539063
CAF,168999.65625,0,0,0,99.8115081787109,0
CUB,209361.328125,69.673698425293,0,0,15362.826171875,3.49027967453003
CPV,220.204772949219,0,0,0,0,4270.765625
COK,0,0,0,0,0,0
CYP,38078.5,0,0,1948.45532226563,8522.248046875,0
DNK,0,57667.046875,0,0,32440.861328125,169243
DJI,148633.578125,386.261352539063,0,0,13.5579681396484,460.663116455078
DMA,0,0,0,0,0,2120.77197265625
DOM,206200.296875,1519.70227050781,0,0,1203.07287597656,10373.478515625
ECU,39300.06640625,0,0,0,493.970428466797,0
EGY,9561132,31814.15625,243.925201416016,52332.2734375,27069.51171875,30480.72265625
IRL,0,141891.015625,0,0,16821.74609375,143982.390625
GNQ,0,0,88.8155975341797,0,65.8368835449219,0
EST,0,10729.4921875,0,0,10109.8046875,13642.77734375
ERI,321728.25,0,0,0,1554.04467773438,365.897583007813
SLV,178324.5625,46.8321571350098,0,0,1423.84912109375,0
ETH,4095515,730.157958984375,0,604.552429199219,804.76318359375,0
AUT,0,705.579467773438,0,0,46094.6796875,0
CZE,0,5968.8349609375,0,0,56658.640625,0
GUF,3134.27661132813,0,0,0,0,0
FIN,0,4018.49291992188,51.592399597168,0,267.180389404297,581.907348632813
FJI,0,0,0,0,0,285.781982421875
FLK,0,0,0,0,0,746.512878417969
PYF,0,0,0,0,0.057904027402401,0
FRA,0,112337.390625,65.6010055541992,0,310022.0625,51770.4375
GMB,24835.828125,0,0,0,185.781280517578,0
GAB,0,0,0,0,1809.96008300781,0
GEO,1231.51647949219,2897.63134765625,0,0,187.499893188477,0
GHA,698678.0625,0,0,0,8193.837890625,0
GRD,0,0,0,0,0,0
GRL,0,0,0,0,0,11973.09765625
DEU,0,30506.521484375,0,0,337784.9375,82201.9921875
GUM,0,0,0,0,0,0
GRC,73.2823791503906,2987.32983398438,0,75.0379638671875,25860.48046875,14292.0712890625
GTM,119898.84375,474.9912109375,0,0,1915.16784667969,0
GIN,100420.3203125,0,0,0,9911.8203125,0
GUY,0,0,0,0,0,0
HTI,117982.375,193.698211669922,0,0,23.9895267486572,394.971466064453
HND,56553.37109375,205.412155151367,0,0,378.909088134766,0
HRV,0,892.335693359375,0,0,18319.19140625,97.3594207763672
HUN,0,17.5987339019775,0,0,63262.859375,0
ISL,0,23983.185546875,69.9654006958008,0,0,153706.84375
IND,2324734.25,30832.546875,2386.35229492188,179.214874267578,200411.59375,14986.1875
IRN,16364344,5983.58203125,24.581600189209,155851.546875,56705.49609375,0
ISR,320848.21875,335.219573974609,0,0,3227.2314453125,0
ITA,0,13926.5224609375,0,0,162089.5625,33.4156646728516
CIV,706073.4375,0,0,0,3980.986328125,0
IRQ,4576869.5,0,0,101310.7578125,31879.25390625,0
JPN,0,25138.173828125,0,0,22093.732421875,6786.94970703125
JAM,18386.529296875,724.411071777344,0,0,438.369445800781,307.220397949219
JOR,1763225.125,141.789947509766,0,61769.89453125,939.986877441406,0
KEN,3247729.5,3.70973205566406,0,0,6909.54443359375,0
KGZ,3652.32177734375,53.8134155273438,0,6143.5673828125,2080.90869140625,0
PRK,0,1488.05676269531,0,0,54.3380393981934,0
KIR,0,0,0,0,0,0
KOR,0,1143.59936523438,0,0,3249.5361328125,0
KWT,562838.125,0,0,347.214324951172,5418.2998046875,0
KAZ,0,206445.328125,0,0,23596.12109375,1393.64099121094
LAO,0,0,0,0,2053.37768554688,0
LBN,13749.0673828125,0,0,1241.00537109375,5738.9853515625,0
LVA,0,10976.353515625,0,0,9421.69140625,17752.697265625
BLR,0,0,0,0,12310.6162109375,0
LTU,0,2027.24670410156,0,0,24113.412109375,6537.29443359375
LBR,3716.33447265625,0,0,0,61.1459808349609,0
