ISO3,PV,Wind,Hydro,CSP,Rooftop,Offshore
ATG,2308.97436523438,67.4755859375,0,0,0,0
DZA,48812624,359867.5,0,2567392,21657.28125,0
AZE,1544693.5,16406.611328125,6.5265998840332,65767.828125,54.4077949523926,2836.306640625
ALB,52266.7578125,667.522583007813,781.690063476563,575.595520019531,8280.458984375,0
ARM,293087.375,2203.64282226563,59.9796028137207,6831.90185546875,0.182982370257378,0
AGO,18149144,396.782379150391,5949.2568359375,626742.75,2594.98950195313,6715.2421875
ASM,0,0,0,0,0,0
ARG,32259102,2783865.25,10081.73828125,5794189,12657.3505859375,1593026.25
AUS,96846368,2560192.5,666.974792480469,34247804,249036.28125,1895146.375
BHR,10975.115234375,714.295288085938,0,742.419555664063,1887.03479003906,0
BRB,11185.197265625,43.4369659423828,0,417.300231933594,0,0
BMU,0,0,0,0,0,24.556245803833
BHS,93605.984375,1128.42199707031,0,4623.63916015625,567.314758300781,0
BGD,4164804.5,0,0,76099.53125,2437.10424804688,0
BLZ,440462.6875,1119.06005859375,49.4393997192383,19708.794921875,0,0
BIH,263684.875,8839.634765625,512.703674316406,0,8613.18359375,0
BOL,5460889,73868.9375,16279.783203125,336100.9375,6759.333984375,0
MMR,5306777,1285.24597167969,21758.5546875,723950.4375,779.958801269531,0
BEN,3782496.5,0,0,616253,1272.04528808594,0
SLB,0,0,0,0,0,0
BRA,116095704,861757.1875,38236.77734375,2971299.75,49516.69140625,310921.59375
BGR,1234065.25,29343.4609375,146.789611816406,770.675476074219,62678.609375,0
BRN,143970.3125,0,0,518.844299316406,1165.82641601563,0
CAN,2782159,3945012.5,58552.1328125,2847118,90230.953125,1384303
KHM,686213,3198.2119140625,1012.57147216797,0,41130.28515625,0
LKA,1015127.25,95441.03125,40.7844009399414,202073.875,4251.171875,5687.962890625
COG,1717696.375,0,3534.63940429688,5345.138671875,1497.8115234375,0
COD,21153506,4904.30810546875,39989.7734375,757921.625,26097.220703125,0
BDI,324353.25,0,0,7765.572265625,1184.79846191406,0
CHN,60025232,1621487.75,94050.2578125,4638077,1792624.5,283762.8125
AFG,6095137,79676.5,2886.91528320313,314336.90625,34739.9375,0
BTN,9038.44921875,0,8976.693359375,0,249.896194458008,0
CHL,7048218,158170.515625,6940.1083984375,430501.375,4065.28100585938,758392.1875
CYM,3612.185546875,196.264175415039,0,548.697204589844,0,0
CMR,7083583.5,59.310718536377,6981.060546875,466432.25,2412.88232421875,0
TCD,8274729,0,401.802398681641,794905,660.843505859375,0
COM,44.635913848877,0,0,0,0,0
COL,6070442,41681.2578125,17078.15234375,776138.375,987.925415039063,368622.5
CRI,557137.625,10511.0791015625,678.519226074219,9733.6357421875,118.87956237793,15550.7958984375
CAF,5350357,0,102.112998962402,33743.65234375,99.8114929199219,0
CUB,2812434.5,8802.2509765625,0,349464.03125,15362.8203125,3.49027967453003
CPV,9926.9375,0,0,0,0,26054.16796875
COK,0,0,0,0,0,0
CYP,78988.3515625,24.4227333068848,0,5596.125,8522.244140625,0
DNK,0,83488.5,0,0,32440.81640625,228589.3125
DJI,394525.9375,9406.609375,625.301635742188,23151.41015625,13.5579681396484,1077.046875
DMA,0,3.57902026176453,0,0,0,4717.818359375
DOM,849661.375,11150.9404296875,0,93344.71875,1203.07275390625,146741.359375
ECU,1190138.125,992.417419433594,2234.75634765625,91.8479919433594,493.970428466797,0
EGY,23068868,404738.78125,975.700805664063,1616071.375,27069.51171875,51097.71875
IRL,167519.890625,156373.78125,0,0,16821.74609375,439480.0625
GNQ,253769.3125,0,1193.07006835938,0,65.8368911743164,0
EST,0,59015.26953125,14.9924001693726,0,10109.806640625,22109.1484375
ERI,1792708.75,5726.73095703125,0,123000.0625,1554.04455566406,2008.26892089844
SLV,302553.3125,998.820251464844,27.231201171875,24531.970703125,1423.84899902344,0
ETH,16356599,33475.5,1588.12902832031,833236.6875,804.763061523438,0
AUT,42350.61328125,26183.10546875,355.097015380859,0,46094.671875,0
CZE,10987.66015625,64704.625,0,0,56658.65625,0
GUF,508439.875,0,570.760437011719,5796.998046875,0,0
FIN,0,236139.65625,1315.10729980469,0,267.180358886719,671.267883300781
FJI,63467.2890625,0,0,0,0,1700.5029296875
FLK,0,10271.7802734375,0,0,0,852.013000488281
PYF,0,0,0,0,0.057904027402401,0
FRA,2831586,437543.6875,731.013793945313,7186.44921875,310022.0625,302470.90625
GMB,179195.90625,0,0,29305.59375,185.781280517578,0
GAB,821619.1875,0,4739.13623046875,0,1809.96044921875,0
GEO,575315.75,11216.11328125,1090.69165039063,839.788391113281,187.499908447266,0
GHA,6991679,118.124885559082,75.8839874267578,975570.375,8193.8388671875,0
GRD,623.901794433594,47.2363433837891,0,0,0,0
GRL,0,2089.54028320313,0,0,0,529286.3125
DEU,227806.25,292891.5,100.421005249023,41.094898223877,337784.90625,117905.890625
GUM,0,0,0,0,0,0
GRC,801829.875,13024.126953125,287.750610351563,7450.83203125,25860.470703125,112116.640625
GTM,815203.125,4368.9375,274.32080078125,56121.328125,1915.16748046875,0
GIN,2443599.5,0,37.2905960083008,27245.94921875,9911.8212890625,0
GUY,414367.25,0,581.358581542969,273.932373046875,0,0
HTI,238435.21875,1372.95922851563,0,19551.58203125,23.9895286560059,14094.982421875
HND,409857.8125,2814.94018554688,23.1749992370605,66017.765625,378.909057617188,0
HRV,430413.0625,8967.61328125,471.841827392578,352.524291992188,18319.185546875,912.972412109375
HUN,618305,9540.7080078125,0,0,63262.80859375,0
