ISO3,PV,Wind,Hydro,CSP,Rooftop,Offshore
ATG,0,0,0,0,0,0
DZA,0.247613312242344,0.329075854816763,0,0.237939374244041,0.215717478068276,0
AZE,0.21130913688277,0.438838160301731,0,0,0.171953184566516,0.501187473416213
ALB,0,0.23749847637619,0,0,0.194378361230635,0
ARM,0.186272787585814,0,0,0,0.202106115814955,0
AGO,0.241429205257202,0,0,0,0.205416326270352,0.533152082059277
ASM,0,0,0,0,0,0
ARG,0.275243608179045,0.533338589784758,0.499999984937522,0.261456278846467,0.209606668796646,0.625554164919594
AUS,0.254570053874439,0.450503556708942,0,0.287388106992223,0.212343728452179,0.58391144497528
BHR,0.240823827218416,0,0,0,0.241245298635219,0
BRB,0.233984515187719,0,0,0,0,0
BMU,0,0,0,0,0,0.499082543203446
BHS,0.218369419080351,0,0,0,0.214903116307536,0
BGD,0,0,0,0,0.187110739879148,0
BLZ,0,0,0,0,0,0
BIH,0,0.360015503991544,0.499999992843241,0,0.16239246862116,0
BOL,0.282860964003465,0.503382914850412,0,0.335396602158785,0.249578725182655,0
MMR,0.212598234292717,0,0,0,0.202685066768929,0
BEN,0.20605591230086,0,0,0,0.193754476736391,0
SLB,0,0,0,0,0,0
BRA,0.223387328203279,0.459819470511574,0.49999998824225,0.246905043953448,0.206134433548138,0.577804509076717
BGR,0,0.432193313987238,0,0,0.171988050695899,0
BRN,0,0,0,0,0.192290067949893,0
CAN,0,0.46750591303405,0.500000001878982,0.20104204267588,0.170393842241638,0.612005834642081
KHM,0,0,0,0,0.202931282226312,0
LKA,0.202888716740398,0.412704419481113,0,0,0.20547970033693,0.524700702613622
COG,0.179004671789274,0,0,0,0.182700831575072,0
COD,0.221193737883339,0,0.499999965076934,0,0.207501025222089,0
BDI,0.207483227559163,0,0,0,0.207478524940843,0
CHN,0.232703798583624,0.478211652268335,0.5,0.210979725035082,0.167115233169231,0.62683223410626
AFG,0.249011851992397,0.498056933890461,0,0.283193665804824,0.235902113116492,0
BTN,0,0,0,0,0.184443051738787,0
CHL,0.293893977424381,0.53463005503629,0,0.249813956447397,0.241507945031731,0.613076838983027
CYM,0,0,0,0,0,0
CMR,0.22193573456101,0,0.500000009936215,0,0.186493330627473,0
TCD,0.233798876629261,0,0,0,0.236903991115879,0
COM,0,0,0,0,0,0
COL,0.21167544486364,0.459103091669469,0,0,0.1921818892668,0.69943447689717
CRI,0.220277203998757,0.542422380678131,0,0,0.196301448643102,0.599044730504133
CAF,0.218982348092861,0,0,0,0.208312993995176,0
CUB,0.224007491527146,0.353130117025725,0,0,0.221462088002561,0.55227057113871
CPV,0.230654916415329,0,0,0,0,0.617078623581921
COK,0,0,0,0,0,0
CYP,0.228411111556798,0,0,0.241849801594158,0.228772091670159,0
DNK,0,0.535558492864626,0,0,0.128622527268064,0.604169870902709
DJI,0.237930810848244,0.545409890483403,0,0,0.234225629160801,0.614425591396697
DMA,0,0,0,0,0,0.585209923393369
DOM,0.23123282724697,0.45142813283963,0,0,0.223255049724927,0.63486759800081
ECU,0.190418561207991,0,0,0,0.172738991748893,0
EGY,0.262403752703652,0.570912157523426,0.499999996629446,0.253603583086157,0.245274086975518,0.649675808253628
IRL,0,0.526707467735391,0,0,0.11556294674234,0.60218109725946
GNQ,0,0,0.499999993959437,0,0.174146176009079,0
EST,0,0.447889376943195,0,0,0.128278338687905,0.550793089944177
ERI,0.24372445097964,0,0,0,0.252146347599855,0.581379156871775
SLV,0.239706763071229,0.398748124056026,0,0,0.231702391558115,0
ETH,0.237425173590465,0.535558490746954,0,0.278610556821427,0.226830357105134,0
AUT,0,0.421039176651478,0,0,0.148558176321776,0
CZE,0,0.418798906130048,0,0,0.138827527605085,0
GUF,0.204831953146585,0,0,0,0,0
FIN,0,0.448414149947793,0.500000018839286,0,0.129791846332128,0.535218640130763
FJI,0,0,0,0,0,0.527556586877055
FLK,0,0,0,0,0,0.658675293161909
PYF,0,0,0,0,0.249778555193099,0
FRA,0,0.481130835848109,0.500000003345615,0,0.154928081247996,0.539817640787562
GMB,0.226308642852135,0,0,0,0.226609427004527,0
GAB,0,0,0,0,0.179938297480864,0
GEO,0.179732210579118,0.474299969973356,0,0,0.163427033737352,0
GHA,0.207797551776688,0,0,0,0.192643165903019,0
GRD,0,0,0,0,0,0
GRL,0,0,0,0,0,0.587866545794828
DEU,0,0.487223077404996,0,0,0.134568355258054,0.599152406779219
GUM,0,0,0,0,0,0
GRC,0.220472403896216,0.376041594467763,0,0.232625185288652,0.197763844438614,0.57262084228522
GTM,0.233777264797787,0.389089331131636,0,0,0.224951953148026,0
GIN,0.212068341447073,0,0,0,0.216154997787335,0
GUY,0,0,0,0,0,0
HTI,0.23928378629768,0.485023111435579,0,0,0.233195749574433,0.563514350185427
HND,0.240005233292469,0.391827633649475,0,0,0.201086776991837,0
HRV,0,0.354230920255607,0,0,0.167183257849019,0.41556276899072
HUN,0,0.459679936849866,0,0,0.158473933272972,0
ISL,0,0.500677031144052,0.499999971369398,0,0,0.593520843310623
IND,0.216893531380873,0.427594764386079,0.499999997524076,0.269677200191288,0.209086856468284,0.609971606083768
IRN,0.245376857510211,0.541273834933533,0.499999988024531,0.225595925594516,0.232734352119208,0
ISR,0.25118243684475,0.502324693150101,0,0,0.235118687007541,0
ITA,0,0.36492174423548,0,0,0.183893902432989,0.481413516604678
CIV,0.208886774245386,0,0,0,0.180564720821351,0
IRQ,0.235365872282743,0,0,0.250295632272131,0.230507634750023,0
JPN,0,0.380725374273668,0,0,0.172690879033266,0.528591002262555
JAM,0.225168817481197,0.308793626166791,0,0,0.224217555562585,0.548559544326565
JOR,0.260053773873716,0.502680910301739,0,0.279083567940306,0.250291675402271,0
KEN,0.221283291595745,0.422996482631617,0,0,0.215263813720226,0
KGZ,0.193630552724524,0.479692522725722,0,0.19443606227388,0.186939606667807,0
PRK,0,0.338632163712505,0,0,0.177075371449524,0
KIR,0,0,0,0,0,0
KOR,0,0.331301187411836,0,0,0.177949423720147,0
KWT,0.242365410393414,0,0,0.219209519978724,0.240492843832638,0
KAZ,0,0.48640441780258,0,0,0.16911027704462,0.539599137734553
LAO,0,0,0,0,0.19611867344088,0
LBN,0.244083902853837,0,0,0.278453164019395,0.223312826673615,0
LVA,0,0.454484551533577,0,0,0.1299519571009,0.561737212983473
BLR,0,0,0,0,0.133964728321166,0
LTU,0,0.494164681306099,0,0,0.130321588635489,0.559374792437599
LBR,0.181248216593473,0,0,0,0.186832236991254,0
SVK,0,0.333634543643225,0,0,0.149288971020604,0
LBY,0.254676430370409,0.454197780620682,0,0.247181256602463,0.238566263874683,0.521914797301582
MDG,0.24327837405162,0.445609119954854,0,0.26261936128962,0.226124459051861,0.64120596284617
