ISO3,PV,Wind,Hydro,CSP,Rooftop,Offshore
ATG,0,0,0,0,0,0
DZA,0.247468965172127,0.39400383173142,0,0.239556021384666,0.215717478068276,0
AZE,0.186849262841141,0.402106282028017,0,0.198151753550213,0.171953184566516,0.494163669043004
ALB,0.199198763757832,0.220418025803884,0.49999998611057,0.198189958942751,0.194378361230635,0
ARM,0.195525087614409,0,0,0,0.202106115814955,0
AGO,0.235330888983852,0,0.499999983550651,0.244653789843727,0.205416326270352,0.532367897516962
ASM,0,0,0,0,0,0
ARG,0.237313308024029,0.497252590104786,0.499999995416826,0.238089676066117,0.209606668796646,0.636737772870946
AUS,0.245027963406827,0.438205495820336,0.500000024528353,0.287416498202892,0.212343728452179,0.582354902782442
BHR,0.240150276177787,0.394665638962579,0,0.212798322976326,0.241245298635219,0
BRB,0.228474046630234,0.422487322490068,0,0.225851094122962,0,0
BMU,0,0,0,0,0,0.499082543203446
BHS,0.213756114196966,0.251187215448505,0,0.214876569724861,0.214903116307536,0
BGD,0.190125968421975,0,0,0,0.187110739879148,0
BLZ,0.204891108073387,0.246539761413888,0,0,0,0
BIH,0.185930394618606,0.329193777851082,0.499999962707525,0,0.16239246862116,0
BOL,0.278596912497102,0.451894051041621,0.500000019468945,0.328329244490055,0.249578725182655,0
MMR,0.209387018011038,0.182719489833449,0.500000017423211,0.179133465100742,0.202685066768929,0
BEN,0.203407720063618,0,0,0.114204541998852,0.193754476736391,0
SLB,0,0,0,0,0,0
BRA,0.219165773884256,0.416532147231697,0.500000010596543,0.218600741016077,0.206134433548138,0.54639145534297
BGR,0,0.36070045006251,0,0,0.171988050695899,0
BRN,0.185834905116702,0,0,0,0.192290067949893,0
CAN,0.168511108515948,0.448751539303451,0.500000041279375,0.201719947730706,0.170393842241638,0.619785251781507
KHM,0.201288064970031,0.271754707818173,0,0,0.202931282226312,0
LKA,0.207722346520934,0.427871208551652,0,0.162446550949979,0.20547970033693,0.533490076230268
COG,0.178496174051379,0,0.499999996940337,0,0.182700831575072,0
COD,0.21354316453718,0,0.500000006388837,0.190399347779188,0.207501025222089,0
BDI,0.202053152921354,0,0,0.156185522408598,0.207478524940843,0
CHN,0.219259806444542,0.45654224382589,0.499999972830819,0.214104467061218,0.167115233169231,0.597093852481997
AFG,0.245834153519971,0.503596900119396,0.500000018886975,0.221715663620447,0.235902113116492,0
BTN,0.241459137514001,0,0.500000001883844,0,0.184443051738787,0
CHL,0.280720072673188,0.441450585958068,0.499999996456217,0.290761761461025,0.241507945031731,0.580175518801602
